Chart,1
Chart,11
Chart,12
Chart,13
Chart,15
Chart,20
Chart,24
Chart,25
Chart,26
Chart,3
Chart,4
Chart,5
Chart,7
Chart,8
Closure,1
Closure,10
Closure,101
Closure,107
Closure,108
Closure,109
Closure,11
Closure,111
Closure,115
Closure,119
Closure,12
Closure,120
Closure,121
Closure,122
Closure,123
Closure,124
Closure,125
Closure,126
Closure,127
Closure,129
Closure,13
Closure,130
Closure,133
Closure,15
Closure,17
Closure,18
Closure,2
Closure,21
Closure,22
Closure,29
Closure,3
Closure,30
Closure,31
Closure,33
Closure,35
Closure,36
Closure,38
Closure,40
Closure,42
Closure,45
Closure,46
Closure,48
Closure,5
Closure,50
Closure,59
Closure,62
Closure,63
Closure,64
Closure,66
Closure,68
Closure,7
Closure,70
Closure,72
Closure,73
Closure,76
Closure,8
Closure,81
Closure,84
Closure,86
Closure,92
Closure,93
CommonsCli,12
CommonsCli,14
CommonsCli,15
CommonsCli,19
CommonsCli,22
CommonsCli,23
CommonsCli,4
CommonsCodec,11
CommonsCodec,12
CommonsCodec,13
CommonsCodec,3
CommonsCodec,4
CommonsCodec,6
CommonsCsv,5
CommonsCsv,8
CommonsJXPath,1
CommonsJXPath,14
CommonsJXPath,3
CommonsJXPath,4
CommonsJXPath,5
CommonsJXPath,8
JacksonCore,1
JacksonCore,10
JacksonCore,11
JacksonCore,12
JacksonCore,2
JacksonCore,3
JacksonCore,4
JacksonCore,5
JacksonCore,6
JacksonCore,7
JacksonDatabind,10
JacksonDatabind,11
JacksonDatabind,12
JacksonDatabind,19
JacksonDatabind,24
JacksonDatabind,25
JacksonDatabind,26
JacksonDatabind,27
JacksonDatabind,31
JacksonDatabind,32
JacksonDatabind,34
JacksonDatabind,35
JacksonDatabind,36
JacksonDatabind,37
JacksonDatabind,39
JacksonDatabind,4
JacksonDatabind,7
JacksonDatabind,8
Jsoup,1
Jsoup,15
Jsoup,20
Jsoup,21
Jsoup,22
Jsoup,34
Jsoup,40
Jsoup,42
Jsoup,47
Jsoup,49
Jsoup,5
Jsoup,9
Lang,10
Lang,22
Lang,24
Lang,25
Lang,26
Lang,27
Lang,31
Lang,33
Lang,39
Lang,43
Lang,44
Lang,51
Lang,57
Lang,58
Lang,59
Lang,6
Lang,60
Lang,61
Lang,63
Lang,7
Math,101
Math,104
Math,18
Math,2
Math,20
Math,28
Math,29
Math,32
Math,33
Math,34
Math,39
Math,40
Math,42
Math,49
Math,5
Math,50
Math,56
Math,57
Math,58
Math,59
Math,6
Math,60
Math,62
Math,63
Math,64
Math,65
Math,67
Math,7
Math,70
Math,71
Math,73
Math,74
Math,75
Math,78
Math,8
Math,80
Math,81
Math,82
Math,84
Math,85
Math,88
Math,95
Mockito,15
Mockito,28
Mockito,29
Mockito,38
Mockito,8
Time,11
Time,14
Time,17
Time,19
Time,20
Time,24
Time,4
